id,set,label
696,train,0
697,train,0
698,test,0
699,train,0
700,train,0
701,train,0
702,test,2
703,test,2
704,train,0
705,train,0
706,train,3
707,train,0
708,train,3
709,test,1
710,train,0
711,train,0
712,train,0
713,train,0
714,train,0
715,train,2
716,train,2
717,train,0
718,train,0
719,train,0
720,train,2
721,train,0
722,train,0
723,train,0
724,test,0
725,train,0
726,train,3
727,train,0
728,train,0
729,test,3
730,train,0
731,test,0
732,train,0
733,test,0
734,test,0
735,test,0
736,train,2
737,train,0
738,test,0
739,train,2
740,train,0
741,train,1
742,train,0
743,test,0
744,train,3
745,train,3
746,train,0
747,train,0
748,train,1
749,train,0
750,train,2
751,train,3
752,train,3
753,train,0
754,train,3
755,train,0
756,train,3
757,train,1
758,train,0
759,train,0
760,train,0
761,test,0
762,train,2
763,train,0
764,train,2
765,train,0
766,test,0
767,test,3
768,train,0
769,train,0
770,train,0
771,test,2
772,train,0
773,train,0
774,train,3
775,train,0
776,train,2
777,train,2
778,train,0
779,train,2
780,test,0
781,test,2
782,train,0
783,train,1
784,train,0
785,train,0
786,train,2
787,test,0
788,test,2
789,train,3
790,train,0
791,train,0
792,train,0
793,test,3
794,train,0
795,train,2
796,test,0
797,test,0
798,test,0
799,train,1
800,train,0
801,train,0
802,train,0
803,train,0
804,train,3
805,train,0
806,train,0
807,train,0
808,test,0
809,train,0
810,train,3
811,train,1
812,train,0
813,train,0
814,train,0
815,train,0
816,train,2
817,train,2
818,train,3
819,train,0
820,test,3
821,train,3
822,test,0
823,train,3
824,train,3
825,train,3
826,train,0
827,train,0
828,train,1
829,train,0
830,test,0
831,test,3
832,train,0
833,train,0
834,train,2
835,train,2
836,train,0
837,train,2
838,train,3
839,train,0
840,train,0
841,train,0
842,train,0
843,train,0
844,test,3
845,train,0
846,test,0
847,train,3
848,train,0
849,test,0
850,train,0
851,train,0
852,train,3
853,train,1
854,test,0
855,train,0
856,train,0
857,train,0
858,train,2
859,train,0
860,train,0
861,train,0
862,train,2
863,train,0
864,train,0
865,test,0
866,test,0
867,train,2
868,train,0
869,train,3
870,train,0
871,train,0
872,train,2
873,test,3
874,train,2
875,train,0
876,train,3
877,train,0
878,train,0
879,train,0
880,train,2
881,train,0
882,train,0
883,train,0
884,train,0
885,test,3
886,train,0
887,train,3
888,train,0
889,train,0
890,train,0
891,train,2
892,train,3
893,train,0
894,test,3
895,test,0
896,train,1
897,train,2
898,test,1
899,train,0
900,test,0
901,train,2
902,train,2
903,train,3
904,train,0
905,train,1
906,train,0
907,train,0
908,train,2
909,test,3
910,train,0
911,train,3
912,train,0
913,train,2
914,test,0
915,train,3
916,test,3
917,train,0
918,test,0
919,train,0
920,train,2
921,test,3
922,train,0
923,train,3
924,train,0
925,train,1
926,test,3
927,train,3
928,train,1
929,train,0
930,train,2
931,train,0
932,train,0
933,train,0
934,test,1
935,train,2
936,train,0
937,train,2
938,train,0
939,train,1
940,train,3
941,train,0
942,train,1
943,train,3
944,train,0
945,train,3
946,train,2
947,train,0
948,train,0
949,test,1
950,train,0
951,train,0
952,train,0
953,test,0
954,test,0
955,train,0
956,train,3
957,train,0
958,train,0
959,test,0
960,train,0
961,test,1
962,train,2
963,train,0
964,train,0
965,train,0
966,train,0
967,train,3
968,train,3
969,train,0
970,train,3
971,train,0
972,train,2
973,train,2
974,train,2
975,test,0
976,train,0
977,train,0
978,test,3
979,train,1
980,train,0
981,train,0
982,train,3
983,train,0
984,train,0
985,train,2
986,train,0
987,train,0
988,train,3
989,train,0
990,train,2
991,train,0
992,test,3
993,train,0
994,train,0
995,train,0
996,train,0
997,test,3
998,train,3
999,train,0
1000,train,0
1001,train,0
1002,train,2
1003,test,0
1004,train,2
1005,train,0
1006,train,3
1007,train,0
1008,train,0
1009,train,0
1010,train,0
1011,train,3
1012,train,0
1013,train,2
1014,train,2
1015,test,2
1016,test,0
1017,train,0
1018,train,2
1019,test,0
1020,test,3
1021,train,0
1022,train,2
1023,train,0
1024,train,3
1025,train,0
1026,train,0
1027,train,0
1028,train,0
1029,train,3
1030,test,0
1031,train,2
1032,train,1
1033,train,0
1034,train,3
1035,test,0
1036,train,3
1037,train,2
1038,train,0
1039,test,0
1040,train,0
1041,train,3
1042,test,3
1043,test,0
1044,train,0
1045,train,3
1046,train,2
1047,train,2
1048,test,0
1049,train,2
1050,test,0
1051,test,0
1052,test,3
1053,train,1
1054,train,3
1055,train,0
1056,train,0
1057,train,0
1058,train,0
1059,train,0
1060,train,3
1061,train,0
1062,test,3
1063,train,1
1064,test,0
1065,train,0
1066,test,0
1067,train,0
1068,train,0
1069,train,0
1070,train,0
1071,train,3
1072,train,0
1073,train,0
1074,train,0
1075,train,0
1076,train,3
1077,train,0
1078,train,0
1079,test,0
1080,train,3
1081,test,0
1082,train,3
1083,train,0
1084,train,0
1085,train,0
1086,train,3
1087,train,0
1088,train,0
1089,test,0
1090,test,0
1091,train,2
1092,train,3
1093,train,0
1094,train,0
1095,train,3
1096,train,0
1097,train,3
1098,train,2
1099,train,0
1100,train,0
1101,train,2
1102,train,0
1103,test,0
1104,train,2
1105,train,0
1106,train,0
1107,train,2
1108,train,0
1109,train,3
1110,train,2
1111,train,0
1112,train,0
1113,train,3
1114,train,0
1115,train,0
1116,test,2
1117,train,0
1118,train,0
1119,train,0
1120,test,0
1121,train,3
1122,train,0
1123,train,2
1124,test,0
1125,train,0
1126,train,2
1127,train,0
1128,train,0
1129,train,0
1130,train,0
1131,train,0
1132,test,0
1133,train,3
1134,test,0
1135,test,2
1136,test,0
1137,train,0
1138,train,0
1139,test,3
1140,test,0
1141,train,3
1142,train,0
1143,train,0
1144,train,0
1145,train,0
1146,train,0
1147,test,0
1148,train,0
1149,test,0
1150,train,3
1151,train,1
1152,train,0
1153,train,0
1154,test,2
1155,train,0
1156,train,3
1157,train,0
1158,train,0
1159,train,0
1160,train,0
1161,train,0
1162,train,3
1163,train,2
1164,test,3
1165,train,0
1166,train,2
1167,train,3
1168,train,2
1169,train,0
1170,train,0
1171,train,0
1172,train,0
1173,train,3
1174,train,0
1175,train,0
1176,test,3
1177,test,0
1178,train,3
1179,train,0
1180,train,0
1181,train,0
1182,train,2
1183,train,0
1184,test,0
1185,test,2
1186,train,3
1187,train,2
1188,train,0
1189,train,3
1190,train,0
1191,train,2
1192,train,3
1193,train,0
1194,train,0
1195,train,0
1196,train,3
1197,train,2
1198,train,0
1199,test,0
1200,train,0
1201,test,0
1202,train,3
1203,train,0
1204,train,0
1205,train,0
1206,train,3
1207,train,0
1208,train,0
1209,train,0
1210,train,0
1211,train,0
1212,test,0
1213,train,0
1214,train,0
1215,train,3
1216,train,2
1217,test,0
1218,train,0
1219,train,0
1220,train,3
1221,test,0
1222,test,0
1223,test,0
1224,test,0
1225,test,3
1226,test,0
1227,train,2
1228,train,0
1229,train,0
1230,train,0
1231,train,3
1232,train,1
1233,train,0
1234,train,0
1235,train,0
1236,train,1
1237,train,0
1238,train,0
1239,train,3
1240,train,2
1241,train,0
1242,train,2
1243,test,0
1244,train,3
1245,train,0
1246,train,0
1247,test,2
1248,test,0
1249,train,0
1250,train,0
1251,train,0
1252,train,0
1253,test,0
1254,train,0
1255,test,0
1256,train,0
1257,train,2
1258,train,0
1259,train,0
1260,test,3
1261,train,3
1262,train,0
1263,train,0
1264,test,0
1265,train,0
1266,train,0
1267,train,0
1268,test,0
1269,train,0
1270,train,0
1271,train,3
1272,train,0
1273,test,0
1274,train,0
1275,train,2
1276,train,0
1277,test,3
1278,train,0
1279,test,2
1280,train,2
1281,train,0
1282,train,3
1283,train,2
1284,train,0
1285,train,0
1286,test,3
1287,train,0
1288,train,3
1289,train,0
1290,train,0
1291,test,2
1292,train,2
1293,train,0
1294,train,0
1295,test,0
1296,test,0
1297,train,2
1298,train,0
1299,train,3
1300,train,0
1301,test,3
1302,test,2
1303,train,0
1304,train,1
1305,train,0
1306,train,0
1307,train,0
1308,train,1
1309,train,0
1310,train,0
1311,train,0
1312,test,0
1313,train,2
1314,test,0
1315,train,0
1316,train,0
1317,train,3
1318,train,0
1319,train,3
1320,train,0
1321,test,0
1322,train,0
1323,train,0
1324,test,0
1325,train,0
1326,test,2
1327,train,3
1328,train,0
1329,train,0
1330,test,0
1331,test,0
1332,test,0
1333,train,0
1334,test,3
1335,train,0
1336,test,3
1337,train,0
1338,test,0
1339,test,0
1340,train,3
1341,train,0
1342,train,0
1343,train,3
1344,train,0
1345,test,0
1346,train,3
1347,test,0
1348,train,2
1349,train,2
1350,train,3
1351,train,0
1352,train,0
1353,train,0
1354,train,0
1355,train,0
1356,test,0
1357,train,3
1358,test,0
1359,train,0
1360,train,0
1361,train,0
1362,train,2
1363,train,0
1364,train,3
1365,train,2
1366,train,2
1367,test,0
1368,train,0
1369,train,0
1370,train,3
1371,train,3
1372,train,3
1373,train,0
1374,train,3
1375,train,0
1376,train,3
1377,test,0
1378,test,3
1379,train,2
1380,train,0
1381,test,0
1382,train,3
1383,test,3
1384,train,0
1385,train,3
1386,train,0
1387,train,0
1388,test,0
1389,train,0
1390,train,2
1391,train,3
1392,test,3
1393,train,0
1394,train,0
1395,train,0
1396,train,3
1397,train,0
1398,train,2
1399,test,0
1400,train,0
1401,test,0
1402,train,0
1403,train,3
1404,train,0
1405,train,0
1406,train,0
1407,train,0
1408,train,0
1409,train,0
1410,test,3
1411,train,2
1412,train,3
1413,test,0
1414,train,0
1415,train,0
1416,train,0
1417,train,2
1418,train,0
1419,train,0
1420,train,1
1421,train,0
1422,train,0
1423,test,0
1424,train,0
1425,train,0
1426,train,0
1427,train,0
1428,test,0
1429,train,0
1430,test,0
1431,train,0
1432,train,3
1433,test,2
1434,train,0
1435,train,3
1436,train,0
1437,train,3
1438,train,0
1439,test,0
1440,train,0
1441,test,0
1442,train,0
1443,train,0
1444,train,0
1445,train,2
1446,test,0
1447,train,0
1448,train,0
1449,train,0
1450,train,0
1451,train,0
1452,train,0
1453,train,0
1454,train,0
1455,train,3
1456,train,0
1457,train,0
1458,train,2
1459,test,0
1460,train,2
1461,train,0
1462,train,0
1463,train,0
1464,train,2
1465,train,0
1466,train,0
1467,train,2
1468,train,2
1469,train,3
1470,train,0
1471,train,0
1472,train,2
1473,test,0
1474,train,1
1475,train,0
1476,test,3
1477,train,3
1478,train,1
1479,test,0
1480,train,3
1481,train,0
1482,train,0
1483,train,2
1484,train,0
1485,train,0
1486,train,0
1487,train,3
1488,test,3
1489,train,0
1490,train,0
1491,train,0
1492,train,0
1493,train,2
1494,train,0
1495,train,0
1496,test,3
1497,train,2
1498,test,0
1499,train,0
1500,train,0
1501,train,3
1502,test,2
1503,train,3
1504,train,0
1505,train,3
1506,train,0
1507,train,2
1508,test,3
1509,train,0
1510,train,0
1511,train,3
1512,train,0
1513,train,0
1514,train,0
1515,train,0
1516,train,0
1517,train,2
1518,train,0
1519,train,2
1520,train,1
1521,train,2
1522,train,2
1523,train,3
1524,train,0
1525,train,3
1526,train,0
1527,train,0
1528,train,0
1529,train,0
1530,train,0
1531,train,2
1532,train,2
1533,train,0
1534,train,2
1535,train,0
1536,train,0
1537,train,0
1538,train,0
1539,test,0
1540,train,0
1541,train,0
1542,train,0
1543,train,0
1544,train,3
1545,train,3
1546,train,0
1547,train,3
1548,train,0
1549,train,3
1550,train,2
1551,train,0
1552,test,3
1553,train,2
1554,train,0
1555,test,0
1556,train,0
1557,train,0
1558,train,0
1559,train,0
1560,train,3
1561,train,0
1562,train,2
1563,test,0
1564,train,0
1565,train,1
1566,train,3
1567,train,0
1568,train,0
1569,train,1
1570,train,0
1571,train,0
1572,test,0
1573,test,0
1574,test,0
1575,test,0
1576,train,2
1577,train,1
1578,train,0
1579,train,0
1580,train,0
1581,train,0
1582,test,0
1583,train,0
1584,train,2
1585,test,2
1586,train,3
1587,train,2
1588,train,0
1589,train,0
1590,train,3
1591,train,0
1592,train,2
1593,train,2
1594,train,2
1595,train,2
1596,train,2
1597,test,2
1598,train,0
1599,train,2
1600,train,1
1601,train,0
1602,train,3
1603,train,0
1604,train,0
1605,train,0
1606,train,0
1607,train,1
1608,train,3
1609,train,3
1610,train,3
1611,train,0
1612,train,0
1613,train,0
1614,train,0
1615,train,3
1616,train,0
1617,train,0
1618,train,0
1619,train,0
1620,test,0
1621,train,0
1622,train,0
1623,train,0
1624,test,0
1625,train,0
1626,train,0
1627,train,0
1628,train,3
1629,train,0
1630,train,2
1631,train,0
1632,train,0
1633,test,3
1634,test,0
1635,train,0
1636,train,0
1637,train,0
1638,train,3
1639,train,2
1640,train,2
1641,train,2
1642,train,0
1643,train,3
1644,train,0
1645,train,0
1646,test,0
1647,train,0
1648,train,1
1649,test,2
1650,train,2
1651,train,0
1652,train,2
1653,train,0
1654,test,0
1655,train,2
1656,train,3
1657,train,2
1658,train,0
1659,train,0
1660,test,2
1661,train,3
1662,train,3
1663,train,1
1664,train,0
1665,train,2
1666,train,3
1667,train,0
1668,test,3
1669,train,3
1670,test,0
1671,train,0
1672,train,0
1673,test,0
1674,train,0
1675,train,0
1676,test,0
1677,train,3
1678,train,0
1679,train,0
1680,train,0
1681,test,3
1682,train,0
1683,train,0
1684,test,0
1685,train,3
1686,train,0
1687,test,0
1688,train,2
1689,train,0
1690,train,2
1691,train,2
1692,train,0
1693,train,0
1694,train,0
1695,train,3
1696,train,2
1697,train,0
1698,train,0
1699,test,0
1700,test,0
1701,test,2
1702,train,0
1703,train,0
1704,train,0
1705,test,0
1706,test,0
1707,train,3
1708,test,2
1709,train,0
1710,train,0
1711,train,1
1712,train,0
1713,test,0
1714,train,0
1715,train,0
1716,train,0
1717,train,2
1718,test,0
1719,train,3
1720,train,0
1721,train,3
1722,train,0
1723,train,2
1724,test,0
1725,train,0
1726,train,1
1727,train,0
1728,train,2
1729,train,3
1730,train,0
1731,train,0
1732,train,0
1733,train,0
1734,train,3
1735,train,0
1736,train,0
1737,train,1
1738,train,3
1739,train,0
1740,train,3
1741,test,2
1742,train,0
1743,test,0
1744,train,0
1745,train,0
1746,train,2
1747,train,0
1748,test,0
1749,train,0
1750,train,0
1751,train,0
1752,train,0
1753,test,0
1754,train,0
1755,train,0
1756,train,0
1757,test,0
1758,train,0
1759,train,2
1760,train,2
1761,test,3
1762,train,0
1763,test,0
1764,train,3
1765,train,0
1766,test,0
1767,train,0
1768,test,0
1769,train,1
1770,train,0
1771,train,0
1772,train,0
1773,test,0
1774,test,0
1775,train,0
1776,train,0
1777,train,0
1778,train,2
1779,train,3
1780,train,0
1781,train,2
1782,train,0
1783,train,0
1784,train,0
1785,train,2
1786,train,0
1787,test,1
1788,test,0
1789,train,3
1790,train,0
1791,train,0
1792,train,0
1793,train,1
1794,train,3
1795,test,0
1796,test,0
1797,train,3
1798,train,0
1799,train,0
1800,train,3
1801,test,3
1802,train,0
1803,train,0
1804,test,2
1805,train,0
1806,test,0
1807,train,0
1808,train,0
1809,train,0
1810,test,3
1811,train,0
1812,train,0
1813,test,3
1814,test,0
1815,test,0
1816,train,1
1817,train,3
1818,train,0
1819,test,0
1820,train,3
1821,test,0
1822,test,0
1823,train,3
1824,train,0
1825,train,3
1826,train,2
1827,train,0
1828,train,3
1829,train,0
1830,train,0
1831,test,0
1832,train,2
1833,train,0
1834,train,0
1835,train,0
1836,test,2
1837,train,0
1838,train,2
1839,train,0
1840,train,0
1841,test,0
1842,train,3
1843,train,3
1844,train,3
1845,train,1
1846,train,2
1847,train,0
1848,train,0
1849,train,2
1850,test,2
1851,train,0
1852,train,0
1853,test,3
1854,train,0
1855,train,2
1856,train,2
1857,train,0
1858,train,2
1859,test,0
1860,train,0
1861,train,0
1862,train,3
1863,train,0
1864,train,2
1865,test,0
1866,test,0
1867,train,0
1868,train,2
1869,train,2
1870,train,2
1871,train,0
1872,train,2
1873,train,0
1874,train,3
1875,test,0
1876,train,0
1877,train,0
1878,train,0
1879,train,0
1880,train,0
1881,train,0
1882,test,3
1883,train,3
1884,test,0
1885,train,1
1886,train,0
1887,test,0
1888,train,0
1889,test,0
1890,train,0
1891,train,0
1892,train,2
1893,train,3
1894,train,1
1895,test,0
1896,train,0
1897,train,0
1898,train,1
1899,train,3
1900,train,0
1901,train,0
1902,train,3
1903,train,2
1904,train,3
1905,train,2
1906,train,3
1907,train,0
1908,train,0
1909,train,0
1910,train,3
1911,train,2
1912,train,0
1913,train,0
1914,train,0
1915,train,0
1916,train,0
1917,test,3
1918,train,0
1919,train,0
1920,train,3
1921,train,0
1922,test,0
1923,train,0
1924,train,0
1925,train,2
1926,test,2
1927,train,0
1928,train,3
1929,train,0
1930,train,0
1931,train,0
1932,train,0
1933,train,0
1934,train,3
1935,train,3
1936,test,0
1937,test,2
1938,train,0
1939,train,0
1940,test,0
1941,train,0
1942,train,3
1943,train,3
1944,train,0
1945,test,0
1946,train,3
1947,train,0
1948,train,0
1949,train,0
1950,train,1
1951,train,0
1952,train,0
1953,train,0
1954,test,0
1955,test,3
1956,test,1
1957,train,3
1958,train,0
1959,train,2
1960,train,0
1961,train,3
1962,train,0
1963,train,0
1964,train,0
1965,train,2
1966,train,0
1967,train,0
1968,train,2
1969,train,0
1970,train,0
1971,train,2
1972,train,1
1973,test,0
1974,train,0
1975,train,3
1976,train,2
1977,train,2
1978,train,0
1979,train,0
1980,train,0
1981,train,3
1982,test,0
1983,train,0
1984,test,0
1985,train,0
1986,train,0
1987,train,2
1988,train,0
1989,test,0
1990,train,0
1991,train,0
1992,train,2
1993,train,0
1994,train,0
1995,train,0
1996,train,2
1997,test,0
1998,train,0
1999,train,0
2000,train,0
2001,test,0
2002,train,0
2003,train,0
2004,test,3
2005,train,3
2006,train,0
2007,train,3
2008,train,2
2009,train,0
2010,train,0
2011,train,0
2012,train,2
2013,train,0
2014,train,0
2015,train,0
2016,train,0
2017,test,3
2018,train,3
2019,test,0
2020,train,0
2021,train,0
2022,train,0
2023,train,0
2024,test,0
2025,train,0
2026,test,0
2027,train,0
2028,train,0
2029,train,3
2030,train,0
2031,train,2
2032,test,1
2033,test,2
2034,train,0
2035,test,0
2036,train,2
2037,train,3
2038,train,3
2039,train,2
2040,train,3
2041,test,0
2042,test,0
2043,train,2
2044,train,0
2045,train,0
2046,train,0
2047,test,0
2048,test,0
2049,test,2
2050,train,0
2051,train,3
2052,train,2
2053,train,0
2054,test,0
2055,train,0
2056,test,2
2057,train,0
2058,train,3
2059,train,0
2060,train,0
2061,train,1
2062,train,0
2063,train,0
2064,train,0
2065,test,0
2066,train,0
2067,train,0
2068,train,0
2069,train,3
2070,train,0
2071,train,0
2072,train,0
2073,train,3
2074,train,0
2075,train,0
2076,train,0
2077,train,2
2078,train,0
2079,train,0
2080,train,3
2081,train,0
2082,test,2
2083,train,0
2084,train,2
2085,train,0
2086,train,0
2087,train,0
2088,test,0
2089,test,0
2090,train,3
2091,train,2
2092,test,3
2093,train,3
2094,train,0
2095,train,0
2096,train,0
2097,train,0
2098,train,0
2099,train,0
2100,train,0
2101,train,2
2102,train,0
2103,train,0
2104,train,2
2105,train,0
2106,train,3
2107,test,0
2108,train,0
2109,train,2
2110,train,0
2111,train,2
2112,test,3
2113,train,0
2114,train,0
2115,train,0
2116,train,3
2117,train,0
2118,train,0
2119,test,0
2120,train,0
2121,test,0
2122,test,0
2123,train,0
2124,train,0
2125,test,0
2126,train,2
2127,train,0
2128,train,2
2129,train,0
2130,train,0
2131,train,0
2132,train,0
2133,train,0
2134,train,2
2135,train,3
2136,train,0
2137,test,0
2138,test,0
2139,train,3
2140,train,0
